sample,read_id,upstream_flank_len,core_repeat_len,downstream_flank_len,total_length,cag_units,caa_units,cga_units,event_count,total_event_bp,frameshift_events,in_frame_events,avg_event_length,oof_patterns
H1,m84137_260214_004236_s1/123537945/ccs,50,136,87,273,24,0,0,1,1,1,0,1.0,0
H1,m84137_260214_004236_s1/64624544/ccs,50,165,86,301,55,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/236978756/ccs,56,143,86,285,5,1,0,9,26,9,0,2.888888888888889,0
H1,m84137_260214_004236_s1/85071146/ccs,49,128,94,271,13,1,0,8,20,7,1,2.5,2
H1,m84137_260214_004236_s1/166596147/ccs,50,137,83,270,14,0,0,6,17,6,0,2.8333333333333335,1
H1,m84137_260214_004236_s1/118293766/ccs,56,121,86,263,5,0,0,6,16,5,1,2.6666666666666665,2
H1,m84137_260214_004236_s1/40567950/ccs,50,222,84,356,54,3,0,8,24,6,2,3.0,3
H1,m84137_260214_004236_s1/28250082/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/177476285/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/59183988/ccs,50,135,86,271,45,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/263591227/ccs,50,138,86,274,37,1,0,3,9,3,0,3.0,2
H1,m84137_260214_004236_s1/165613471/ccs,50,145,86,281,11,1,0,1,4,1,0,4.0,1
H1,m84137_260214_004236_s1/18547753/ccs,50,141,87,278,17,1,0,10,33,8,2,3.3,2
H1,m84137_260214_004236_s1/128320429/ccs,52,133,89,274,25,2,0,7,19,6,1,2.7142857142857144,2
H1,m84137_260214_004236_s1/66585042/ccs,50,140,85,275,22,0,0,7,23,4,3,3.2857142857142856,1
