Repeat_ID,Control_11,H1,H3,H1_vs_Control,H3_vs_Control,H1_vs_H3,H1_fold_change,H3_fold_change,H1_expanded,H3_expanded
CANVAS_RFC1,146.72979166666667,138.24842022116903,145.33206371191136,-8.481371445497643,-1.397727954755311,-7.0836434907423325,0.9421973455481679,0.9904741365820883,False,False
CCHS_PHOX2B,53.026943005181344,53.086096119249554,53.02548036758563,0.059153114068209334,-0.0014626375957149662,0.0606157516639243,1.0011155294029006,0.9999724170862428,False,False
CJD_PRNP,73.99978782092086,73.99458170784568,73.99931271477664,-0.005206113075175267,-0.00047510614422208164,-0.0047310069309531855,0.9999296469188834,0.9999935796282907,False,False
DM1_DMPK,42.0617453767385,45.466175485599464,53.37253266611065,3.4044301088609643,11.31078728937215,-7.906357180511186,1.0809388692354103,1.2689091284268812,False,True
DM2_CNBP,79.8991456166419,78.92725803192565,79.58188657407408,-0.9718875847162565,-0.31725904256782655,-0.6546285421484299,0.9878360703707723,0.9960292561313479,False,False
DRPLA_ATN1,52.5017970220777,47.5252214789369,48.00832819247378,-4.976575543140804,-4.49346882960392,-0.48310671353688406,0.9052113294131992,0.9144130470864767,False,False
EPM1_CSTB,45.02568567696997,42.93951064793838,45.02431941923775,-2.086175029031594,-0.0013662577322222091,-2.0848087712993717,0.9536670014533806,0.9999696560371779,False,False
FAME1_SAMD12,67.51615218951902,68.52472395583294,61.51830522418758,1.0085717663139206,-5.997846965331441,7.006418731645361,1.0149382293511462,0.9111642655746232,False,False
FECD3_TCF4,145.9233757062147,45.08273444347064,52.65859421145895,-100.84064126274406,-93.26478149475575,-7.575859767988305,0.3089479956537945,0.360864693244732,False,False
FRA2A_AFF3,46.115643209323174,42.01350736075277,43.50900450225112,-4.102135848570406,-2.606638707072051,-1.4954971414983547,0.9110467606414936,0.9434760414109313,False,False
FRAXE_AFF2,86.00242466227918,86.01029269861692,84.51438848920863,0.007868036337740136,-1.4880361730705545,1.4959042094082946,1.0000914862152857,0.9826977416170081,False,False
FRDA_FXN,56.21843503756643,51.9213649851632,46.52617724480842,-4.297070052403228,-9.692257792758006,5.395187740354778,0.9235647514995423,0.8275964497005045,False,False
FTDALS1_C9orf72,57.875018293575295,51.96929887191204,54.00223491432829,-5.905719421663257,-3.8727833792470037,-2.032936042416253,0.8979573640615358,0.9330836776655167,False,False
FXS_FMR1,62.98838334946757,63.99164603960397,69.8979378752284,1.0032626901364026,6.909554525760825,-5.9062918356244225,1.015927741541963,1.1096956955924038,False,False
HDL2_JPH3,49.97646001796945,47.51240157480315,50.50355660936574,-2.4640584431663015,0.5270965913962868,-2.9911550345625884,0.9506956186516546,1.0105468973033858,False,False
HD_HTT,67.05595380326564,80.23538427851982,83.57896472139795,13.179430475254179,16.523010918132314,-3.3435804428781353,1.196543777662474,1.2464063216013437,True,True
NIID_NOTCH2NLC,47.98895841001104,50.61829063025995,49.55963029218843,2.629332220248912,1.5706718821773933,1.058660338071519,1.0547903581858198,1.0327298598306258,False,False
OPDM1_LRP12,44.01351766513057,44.99336049494492,44.55584016393443,0.979842829814352,0.5423224988038555,0.4375203310104965,1.0222623158019162,1.0123217258599966,False,False
OPDM2_GIPC1,43.53056277056277,45.03177494434325,44.52497783032811,1.5012121737804804,0.9944150597653447,0.5067971140151357,1.0344863948047938,1.0228440662485028,False,False
OPDM4_RILPL1,43.01348136399683,43.00791258477769,43.00132661183338,-0.0055687792191392305,-0.012154752163453963,0.006585972944314733,0.9998705340966937,0.9997174199395628,False,False
OPDM_ABCD3,40.99573055028463,40.996090084454174,40.99398378236987,0.0003595341695472598,-0.001746767914760028,0.0021063020843072877,1.0000087700393363,0.9999573914675671,False,False
OPMD_PABPN1,43.02983073571309,43.032335329341315,43.028892005610096,0.0025045936282239722,-0.0009387301029946116,0.003443323731218584,1.000058205983742,0.9999781842018213,False,False
SBMA_AR,70.09945504087193,68.11846778285134,67.13614485445794,-1.9809872580205905,-2.9633101864139917,0.9823229283934012,0.9717403329759758,0.9577270581535018,False,False
