Sample,Simple_%,Moderate_%,Complex_%,Avg_CAG,Avg_insertions,Avg_deletions,Avg_complexity_score
Control_11,0.0,0.0,100.0,8.049477071600965,12.238133547868062,0.07723250201126307,1.0
H1,0.39164490861618795,0.0,99.60835509138381,18.276762402088774,87.48607484769364,0.13664055700609226,0.9960835509138382
H3,0.2005347593582888,0.0,99.79946524064172,21.709893048128343,119.34692513368984,0.14705882352941177,0.9979946524064172
