Sample,N_reads,Mean_CAG,Median_CAG,Max_CAG,P95_CAG,P99_CAG,Pct_gt_100,Pct_gt_500,Pct_gt_1000
Control_11,5022,24.950816407805654,25.0,30,26.0,27.0,0.0,0.0,0.0
H1,4567,41.04707685570396,43.0,1394,56.0,97.04000000000087,1.0072257499452595,0.06568863586599519,0.04379242391066346
H3,3033,44.275304978569075,24.0,1078,69.0,89.67999999999984,0.6264424662050775,0.09891196834817012,0.03297065611605671
