sample,n_reads,median_CAG,p95_CAG,p99_CAG,max_CAG,pct_gt_100,pct_gt_500,pct_gt_1000,pct_clean,pct_CAA,pct_other_int,pct_fragmented
Control_11,14830.0,25.0,33.0,66.0,610.0,0.34389750505731626,0.006743088334457182,0.0,0.0,0.0,20.896830748482806,79.10316925151719
H1,14631.0,23.0,32.0,33.0,158.0,0.01366960563187752,0.0,0.0,0.0,0.0,39.26594217756818,60.73405782243182
H3,10702.0,21.0,31.0,32.0,122.0,0.018688095683049896,0.0,0.0,0.0,0.0,31.115679312278075,68.88432068772192
