sample,read_id,allele,CAG_count,CAA_count,Repeat_region_length,Repeat_matches_bp,Repeat_insertions_bp,Repeat_complexity_score,Repeat_class,Read_length,Mapping_quality
Control_11,m84137_260214_004236_s1/242488697/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/190644681/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/255852787/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/159978261/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/42208773/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/102568202/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/11799409/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/11995489/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/23988866/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/25299087/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/81660229/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/81725058/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/82576536/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/108265597/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/108331082/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/108465010/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/122095023/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/214698968/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/232720782/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/257230766/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/65209350/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/194973426/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/242291587/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/237571621/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
