,Mean_expanded,Median_expanded,Std_expanded,CV_expanded,Range_expanded,Max_expansion,Mean_expansion_above_baseline,Median_expansion_above_baseline,Pct_gt_100,Pct_gt_200,Pct_gt_500,Pct_gt_1000,P5,P10,P25,P50,P75,P90,P95,P99,IQR,QCD,Shannon_entropy,Weighted_burden_score,Instability_index,Mosaicism_ratio,Pathogenic_load
Control_11,25.954143201930812,26.0,0.6774058240453563,0.02610010350852044,15.0,30.0,1.9541432019308125,2.0,0.0,0.0,0.0,0.0,25.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,0.0,0.0,0.80061809512869,1.9541432019308125,0.0,0.9786806114239742,0.0
H1,55.940382941688426,51.0,41.739811337691705,0.7461481159541002,1354.0,1394.0,29.940382941688426,25.0,2.0017406440382945,0.6962576153176675,0.13054830287206268,0.08703220191470844,49.0,49.0,50.0,51.0,53.0,56.0,64.0,174.0900000000006,3.0,0.02912621359223301,0.37191031787410433,34.146214099216714,1.4935950101779207,1.0,6261.0
H3,66.08823529411765,63.0,37.48821876381531,0.5672449657186117,1034.0,1078.0,43.088235294117645,40.0,1.2700534759358288,0.4010695187165776,0.2005347593582888,0.06684491978609625,59.0,60.0,61.0,63.0,65.0,69.0,77.0,117.09999999999991,4.0,0.031746031746031744,1.010469656488807,46.11898395721925,0.7204314404180229,1.0,3071.0
