sample,read_id,allele,CAG_count,CAA_count,CCG_count,repeat_length_bp,classification,is_clean,is_interrupted,is_fragmented,mapq
H1,m84137_260214_004236_s1/263591227/ccs,1,8,4,12,274,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/165613471/ccs,1,1,3,12,281,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/18547753/ccs,1,69,5,11,278,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/121899753/ccs,0,71,4,13,199,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/128320429/ccs,1,124,4,11,274,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/195695427/ccs,0,95,4,12,200,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/66585042/ccs,1,60,2,11,275,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/51119989/ccs,1,91,5,11,278,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/130942037/ccs,0,53,1,11,193,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/45875392/ccs,1,110,3,10,279,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/228988176/ccs,1,93,6,11,269,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/235540159/ccs,0,99,2,10,195,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/26940418/ccs,1,102,4,12,266,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/163188232/ccs,1,85,2,8,284,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/126553081/ccs,0,48,2,10,195,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/89656532/ccs,0,59,1,13,197,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/174266215/ccs,1,101,4,11,278,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/10358159/ccs,1,74,2,13,265,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/30543021/ccs,1,72,2,12,275,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/177996547/ccs,0,64,0,12,194,clean_CAG,True,False,False,60
H1,m84137_260214_004236_s1/154797405/ccs,0,63,3,11,195,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/201328142/ccs,0,85,2,11,196,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/220793943/ccs,1,161,4,12,273,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/209785784/ccs,1,92,2,11,273,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/47912489/ccs,1,114,4,12,292,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/62850644/ccs,1,1,3,13,261,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/69275628/ccs,0,3,2,11,192,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/100340817/ccs,0,2,2,12,193,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/94438014/ccs,0,3,2,12,193,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/210766636/ccs,0,1,2,12,193,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/118164028/ccs,0,2,2,12,193,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/251921486/ccs,0,1,2,12,193,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/124784221/ccs,0,2,2,11,194,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/231213681/ccs,0,2,2,12,196,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/122557921/ccs,0,1,2,12,196,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/107087906/ccs,0,1,2,12,196,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/117243967/ccs,0,1,2,12,196,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/165609745/ccs,0,5,2,12,196,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/167512980/ccs,0,2,2,12,196,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/80285520/ccs,0,1,2,12,196,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/97780786/ccs,0,2,2,12,196,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/202311802/ccs,0,1,2,12,196,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/182913903/ccs,0,1,2,12,196,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/147784732/ccs,0,1,2,12,196,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/69015063/ccs,0,1,2,12,196,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/133699250/ccs,0,1,2,12,196,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/4394598/ccs,0,2,2,12,196,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/8719289/ccs,0,2,2,12,196,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/213517694/ccs,0,3,1,12,197,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/266800737/ccs,0,9,3,12,198,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/229639097/ccs,0,1,2,12,198,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/147916979/ccs,0,2,2,15,199,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/57934433/ccs,0,1,2,12,199,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/42865844/ccs,0,2,2,15,199,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/83034537/ccs,0,2,2,12,199,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/52104799/ccs,1,2,2,12,253,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/175965561/ccs,1,8,2,12,255,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/184288848/ccs,1,2,2,12,258,CAA_interrupted,False,True,False,60
