,pct_any_expansion,pct_gt_normal_plus_50,pct_gt_100,pct_gt_500,somatic_burden_score
Control_11,97.86806114239742,0.0,0.0,0.0,1.9541432019308125
H1,100.0,2.9155787641427326,2.0017406440382945,0.13054830287206268,29.940382941688426
H3,100.0,6.684491978609626,1.2700534759358288,0.2005347593582888,43.088235294117645
