sample,read_id,allele,CAG_count,CAA_count,CCG_count,repeat_length_bp,classification,is_clean,is_interrupted,is_fragmented,mapq
Control_11,m84137_260214_004236_s1/18482317/ccs,0,192,4,15,206,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/262277579/ccs,1,78,5,15,207,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/59444425/ccs,0,88,2,14,201,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/192810499/ccs,1,91,3,14,203,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/42929735/ccs,1,72,2,15,204,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/57610134/ccs,0,89,3,15,199,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/100471491/ccs,1,92,4,14,206,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/112332217/ccs,0,87,3,14,202,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/187040585/ccs,0,93,2,15,205,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/207814709/ccs,0,78,2,13,195,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/257430289/ccs,0,94,2,15,196,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/62919884/ccs,0,8,4,16,207,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/52103836/ccs,1,92,2,13,210,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/129504850/ccs,1,87,1,12,202,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/42337483/ccs,1,172,4,12,208,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/216667264/ccs,1,123,4,14,209,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/50990672/ccs,0,76,2,12,196,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/205850163/ccs,0,192,3,11,196,CAA_interrupted,False,True,False,43
Control_11,m84137_260214_004236_s1/6096585/ccs,1,67,2,14,208,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/145886234/ccs,0,189,2,15,198,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/14747362/ccs,0,106,2,13,201,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/17109642/ccs,1,75,2,13,201,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/64492558/ccs,0,2,2,15,199,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/237110071/ccs,0,8,2,15,199,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/200149272/ccs,0,88,1,14,199,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/119277525/ccs,0,66,2,10,193,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/123866742/ccs,0,99,3,15,202,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/116851089/ccs,0,88,2,15,198,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/154473071/ccs,1,87,3,14,205,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/4984618/ccs,1,69,2,15,206,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/202113161/ccs,0,69,2,15,200,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/81005660/ccs,0,73,2,15,199,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/267127044/ccs,0,14,2,13,194,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/146998575/ccs,1,47,2,12,197,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/149160565/ccs,0,2,2,14,197,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/132582517/ccs,0,2,2,15,199,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/157287560/ccs,0,6,2,15,199,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/255725828/ccs,1,15,2,15,205,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/246744829/ccs,1,13,2,15,205,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/238555691/ccs,1,4,2,14,206,CAA_interrupted,False,True,False,60
Control_11,m84137_260214_004236_s1/205390462/ccs,1,77,4,13,203,CAA_interrupted,False,True,False,60
